ID,transaction_count,credit_count,debit_count,net_count,debit_amount,credit_amount,amount_moved,CAT_Animais de estimação,CAT_Cabeleireiro e Barbeiro,CAT_Cafés e Pastelarias,CAT_Carro e Transportes,CAT_Casa,CAT_Combustível,CAT_Compras e Serviços,CAT_Diversos,CAT_Educação,CAT_Empréstimos e Rendas,CAT_Hobbies,CAT_Investimentos e Poupanças,CAT_Lazer e Viagens,CAT_Levantamentos,CAT_Não categorizadas,CAT_Ordenado e Subsídios,CAT_Outros Rendimentos,CAT_Restaurantes e Bares,CAT_Saúde e Bem estar,CAT_Seguros,CAT_Subscrições,CAT_Supermercado,CAT_Taxas e Impostos,CAT_Tecnologia,CAT_Telecomunicações,CAT_Vestuário e Calçado,"CAT_Água, luz e gás",target
40,493,59,434,-375,45778.25,46134.719999999994,91912.97,0,0,1,23,8,13,74,13,2,8,0,6,0,68,37,4,47,38,22,25,0,63,14,1,4,14,8,0
41,241,25,216,-191,66163.31,65988.45999999999,132151.77,0,1,0,2,1,5,13,3,0,0,0,3,0,19,103,8,15,2,2,0,0,26,19,0,12,3,4,0
42,215,24,191,-167,4561.1,5941.4400000000005,10502.54,1,0,0,9,0,31,14,12,3,0,4,4,4,39,33,5,12,19,2,0,0,11,0,1,8,3,0,0
43,242,33,209,-176,15513.21,12967.5,28480.71,0,0,0,6,3,11,12,8,1,4,2,1,0,17,49,8,6,16,8,5,0,48,12,0,4,13,8,0
44,380,45,335,-290,40171.34,49093.34,89264.68,3,0,0,11,2,12,25,2,1,0,0,1,0,13,45,4,32,39,51,1,0,69,22,3,8,6,30,0
45,2159,545,1614,-1069,30584.83,30509.83,61094.659999999996,1,0,0,12,0,2,9,35,0,0,0,54,7,58,1220,0,545,40,20,0,0,23,117,0,8,0,8,0
46,261,28,233,-205,112420.18,159511.79,271931.97,0,1,0,2,0,1,3,8,0,12,0,22,1,2,33,6,21,11,13,29,0,48,28,0,11,0,9,0
47,121,26,95,-69,16304.080000000002,14605.49,30909.57,0,0,0,0,0,0,2,23,0,0,0,2,0,1,25,5,18,3,2,8,0,9,22,0,1,0,0,1
49,95,10,85,-75,131837.72999999998,131920.15,263757.88,0,3,2,1,0,0,3,1,0,0,0,0,0,20,6,0,8,5,2,1,0,38,2,0,2,1,0,1
50,789,142,647,-505,71478.25,73307.73,144785.98,8,1,0,38,0,24,22,68,5,0,0,8,1,38,227,5,105,28,16,17,1,45,76,9,20,23,4,0
51,162,26,136,-110,13900.63,13529.159999999996,27429.79,0,0,0,3,2,7,4,19,0,0,0,0,0,17,22,8,10,20,7,4,0,25,3,0,4,0,7,1
52,187,10,177,-167,15870.21,3544.26,19414.47,0,0,1,1,0,33,7,0,0,0,0,0,0,1,75,0,10,7,8,0,0,24,9,0,10,1,0,0
53,1894,772,1122,-350,718751.02,701213.61,1419964.6300000001,0,1,0,91,15,26,25,62,0,15,0,0,1,61,685,23,687,10,9,41,0,44,30,0,25,8,35,0
54,89,31,58,-27,91213.34,54235.09,145448.43,0,0,0,0,0,0,1,8,0,0,0,0,0,0,15,0,31,0,0,1,0,0,33,0,0,0,0,1
55,256,32,224,-192,14735.669999999998,16407.78,31143.449999999997,0,0,0,19,2,14,10,3,0,4,0,3,0,4,51,8,12,31,14,10,0,29,13,1,15,2,11,0
56,187,17,170,-153,9685.47,11119.580000000002,20805.05,3,0,0,2,0,5,7,13,1,3,0,0,2,2,24,8,4,4,5,13,0,44,29,1,5,4,8,0
57,406,47,359,-312,52516.25,52006.86,104523.10999999999,0,0,0,4,9,22,23,7,4,12,0,0,2,17,80,4,32,2,8,52,0,31,60,2,23,3,9,0
58,109,14,95,-81,6161.730000000001,5841.500000000001,12003.230000000001,1,0,0,0,1,0,4,9,0,0,0,0,0,6,21,0,11,4,6,1,0,6,20,1,4,2,12,0
59,1113,76,1037,-961,70480.74,65359.48,135840.22,0,0,2,252,1,188,27,19,2,0,0,0,6,54,151,1,60,114,30,10,0,51,94,0,25,22,4,0
60,124,5,119,-114,12869.02,11204.47,24073.489999999998,0,0,0,1,1,3,10,7,0,4,0,0,0,13,8,4,0,15,6,8,0,27,8,0,4,1,4,0
62,282,59,223,-164,21591.35,17402.48,38993.83,0,0,0,0,4,8,11,13,1,0,0,1,2,3,67,8,28,1,23,4,0,59,38,0,5,5,1,1
63,53,7,46,-39,17555.56,21776.47,39332.03,0,0,0,1,0,0,0,4,0,0,0,5,0,5,13,0,6,1,0,1,0,1,10,0,6,0,0,0
64,369,82,287,-205,12894.570000000002,12705.84,25600.410000000003,0,0,0,33,2,17,11,11,0,0,0,3,0,6,73,4,71,44,7,0,0,45,26,5,4,2,5,1
65,228,33,195,-162,74905.57,57677.57,132583.14,1,0,2,17,2,5,11,10,2,0,0,1,0,38,32,7,23,4,22,7,0,5,24,2,4,0,9,0
66,576,132,444,-312,70564.89,70277.22,140842.11,0,1,2,12,1,2,14,43,0,4,1,5,7,21,187,8,116,19,14,0,0,27,56,2,14,6,14,1
67,96,3,93,-90,8532.800000000001,48.0,8580.8,1,0,0,16,1,6,1,3,0,0,0,0,0,2,6,0,1,6,3,1,0,28,10,0,4,0,7,1
68,578,35,543,-508,74175.83000000002,32179.14,106354.97,0,0,0,27,3,25,20,16,1,4,0,0,8,259,37,20,12,69,3,3,0,37,16,0,9,6,3,1
70,341,20,321,-301,65511.85,67741.76999999999,133253.62,0,0,2,21,0,46,13,8,1,0,0,10,30,11,71,0,20,40,15,1,0,10,38,0,4,0,0,0
71,172,28,144,-116,5850.24,6577.83,12428.07,2,0,0,17,0,6,3,4,0,0,0,0,1,1,51,4,16,32,18,3,0,6,1,2,0,3,2,1
72,64,20,44,-24,47731.02,62817.88,110548.9,0,0,0,0,0,0,1,4,0,0,0,6,0,0,10,0,20,0,4,1,0,0,2,0,4,0,12,0
73,42,8,34,-26,20189.6,6943.97,27133.57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,7,0,0,0,0,0,10,1,1,0,7,0
74,282,21,261,-240,17438.97,17597.300000000003,35036.270000000004,0,0,0,12,1,4,16,19,0,12,0,4,0,42,33,4,6,7,5,14,0,37,48,0,7,2,9,0
75,257,23,234,-211,7492.48,8738.41,16230.89,0,0,1,29,0,6,18,11,0,8,2,0,0,16,22,3,16,6,10,16,0,50,21,0,5,8,9,0
76,292,27,265,-238,14626.93,14379.380000000001,29006.309999999998,1,0,0,1,3,12,15,4,2,0,0,7,0,15,29,4,18,41,19,0,0,85,7,1,13,7,8,1
77,1513,743,770,-27,576679.55,569312.17,1145991.72,4,0,0,10,2,10,51,43,1,42,0,7,0,22,340,18,655,17,18,73,0,25,112,0,31,4,28,0
78,87,13,74,-61,18957.66,18822.25,37779.90999999999,3,0,0,1,3,5,3,0,0,0,0,5,0,3,10,0,9,1,4,8,0,9,17,0,1,0,5,1
79,288,48,240,-192,92941.63,89358.72,182300.35000000003,0,0,0,24,4,22,14,5,1,4,0,0,0,14,52,4,40,24,15,4,0,31,22,0,4,2,2,1
80,154,16,138,-122,10917.44,8745.16,19662.6,10,2,0,2,0,5,4,2,0,3,0,0,0,16,21,4,9,9,6,14,0,20,7,0,3,4,13,0
81,426,81,345,-264,14689.33,15504.460000000001,30193.79,0,0,0,7,2,2,17,20,2,13,0,0,0,13,86,4,59,3,13,28,0,87,60,0,4,0,6,1
82,152,13,139,-126,18481.12,5276.1,23757.219999999998,0,0,0,13,1,2,5,3,0,0,0,1,0,13,39,3,6,9,8,0,0,34,12,0,0,3,0,0
83,158,29,129,-100,35497.91,37776.09,73274.0,0,1,0,0,1,1,4,27,0,0,0,6,1,17,25,4,23,5,2,11,0,5,9,0,4,4,8,0
84,126,10,116,-106,46106.170000000006,44720.869999999995,90827.03999999998,0,0,0,5,1,4,4,15,2,0,0,0,0,8,15,5,4,7,1,6,0,6,23,1,10,0,9,0
85,326,35,291,-256,38617.4,34748.4,73365.8,1,1,0,6,2,6,15,7,0,0,0,0,0,7,85,0,22,13,15,16,0,69,25,4,5,19,8,0
86,136,4,132,-128,4077.94,38.769999999999996,4116.71,0,0,0,0,0,2,2,2,0,0,0,0,1,2,31,0,0,4,3,4,0,3,78,0,4,0,0,0
87,1022,330,692,-362,2124098.83,2265146.26,4389245.09,0,0,0,234,1,15,14,27,0,4,2,0,1,26,188,8,334,26,8,36,0,18,44,3,8,11,14,0
88,23,5,18,-13,1063.87,932.3400000000001,1996.2099999999996,0,0,0,0,0,0,3,5,0,0,0,0,0,0,1,3,2,0,0,3,4,0,1,0,0,1,0,0
90,131,10,121,-111,8781.74,10708.33,19490.07,0,0,0,0,0,0,0,4,0,8,0,2,0,0,60,0,9,0,0,20,0,0,17,0,3,0,8,0
91,4397,3725,672,3053,16409216.300000003,16443410.459999997,32852626.759999998,0,0,1,31,6,30,5,75,5,8,1,8,1,38,219,37,3615,70,15,12,0,79,108,8,7,8,10,0
92,511,95,416,-321,156691.91,152143.82,308835.73000000004,0,0,0,66,7,38,6,7,0,6,0,0,0,38,135,0,72,20,7,9,0,19,58,0,9,5,9,0
93,213,37,176,-139,9078.849999999999,12947.63,22026.48,0,1,0,1,2,3,22,6,0,0,1,3,0,5,42,8,25,49,2,2,0,23,8,4,5,1,0,1
94,138,17,121,-104,16228.119999999999,8648.24,24876.36,0,0,0,0,10,2,20,2,0,0,0,0,0,41,17,0,16,11,1,0,0,13,4,1,0,0,0,1
95,476,51,425,-374,192853.26999999996,241100.58000000002,433953.85,5,0,0,72,3,58,20,6,0,16,0,3,0,10,99,4,30,23,9,14,5,12,24,0,35,9,19,0
96,500,26,474,-448,181492.93,121942.81,303435.74,3,0,0,31,1,7,23,5,0,4,2,10,5,17,100,4,18,112,18,13,0,14,76,0,11,11,15,0
97,258,18,240,-222,11930.06,13253.220000000001,25183.28,1,0,0,7,4,15,27,13,1,0,1,0,0,2,27,0,6,23,2,0,0,91,26,0,8,0,4,0
98,252,38,214,-176,14902.04,18853.21,33755.25,0,0,0,14,2,9,13,5,0,4,0,0,0,4,53,8,22,10,29,17,0,20,22,5,9,2,4,1
99,624,263,361,-98,103817.56,102964.43000000001,206781.99,0,0,0,16,0,5,18,7,1,0,0,0,1,0,348,6,157,10,1,3,0,13,21,1,9,0,7,1
101,324,10,314,-304,216802.60000000003,7146.95,223949.55000000002,0,3,0,23,2,17,18,18,1,0,0,0,5,12,40,2,6,74,8,8,0,24,33,5,0,25,0,1
102,120,36,84,-48,220124.38000000003,62413.93,282538.31,1,0,0,1,0,0,2,34,0,0,0,1,0,1,15,0,36,1,2,0,0,4,20,0,0,1,1,1
103,205,30,175,-145,12934.34,13034.26,25968.6,0,2,0,24,1,11,8,4,0,0,0,0,0,6,46,4,23,30,1,2,0,10,31,1,0,1,0,0
104,1972,626,1346,-720,12674028.639999999,12530740.0,25204768.64,0,0,0,2,0,5,3,326,0,4,0,0,1,0,485,275,557,3,16,13,0,27,237,0,4,4,10,1
105,45,0,45,-45,3298.86,0.0,3298.86,0,0,0,19,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,9,0,0,12,0,0,0,0,0
106,381,19,362,-343,8295.5,10683.939999999999,18979.44,1,0,0,11,5,13,46,9,0,4,0,0,0,23,28,4,7,44,18,8,0,131,8,2,5,6,8,0
107,61,12,49,-37,2853.04,8723.36,11576.399999999998,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,9,0,0,8,0,0,26,0,0,1,0,0
108,207,35,172,-137,8196.21,10021.919999999998,18218.129999999997,0,0,1,7,0,3,5,12,0,4,1,0,1,7,37,8,17,7,16,6,0,44,11,0,14,0,6,0
109,190,11,179,-168,8932.060000000001,7029.81,15961.87,0,0,0,0,3,2,9,1,0,0,0,5,0,16,36,4,4,13,4,0,0,65,10,0,0,18,0,1
110,214,29,185,-156,10861.41,13007.970000000001,23869.379999999997,0,1,0,17,0,25,15,18,0,4,0,4,0,8,38,8,11,3,11,8,0,28,2,0,4,1,8,1
111,361,39,322,-283,59044.0,60233.34999999999,119277.35,2,4,0,16,3,25,12,13,0,0,0,1,1,13,57,0,39,65,41,1,0,26,28,0,9,5,0,0
112,175,45,130,-85,19280.4,12477.12,31757.520000000004,0,0,0,0,0,2,0,19,0,0,0,0,0,0,41,0,42,0,4,1,0,0,25,0,18,0,23,0
113,111,22,89,-67,9278.82,9298.25,18577.07,0,0,0,0,0,3,6,1,0,0,0,2,0,5,27,0,18,1,5,0,0,21,15,0,2,5,0,0
114,737,49,688,-639,4413523.319999999,4377469.57,8790992.89,0,0,0,120,1,46,32,38,0,1,0,0,2,56,186,14,40,23,7,8,0,44,78,1,31,2,7,0
115,470,37,433,-396,4402464.5,4367045.68,8769510.18,0,0,0,120,0,6,0,22,0,0,0,0,0,0,178,6,36,0,0,4,0,0,66,1,27,0,4,0
116,112,11,101,-90,6227.25,70904.44,77131.69,0,0,0,13,0,4,0,4,0,0,0,5,0,1,14,0,5,13,0,6,0,30,3,0,8,1,5,0
117,176,6,170,-164,10564.869999999999,11075.439999999999,21640.309999999998,0,0,0,2,0,10,0,4,0,4,0,0,0,61,6,4,1,7,3,9,0,23,31,0,4,2,5,0
118,328,18,310,-292,25530.329999999998,29554.65,55084.98,3,2,1,49,0,7,13,5,0,11,4,2,0,16,54,2,14,80,1,16,0,10,27,1,4,2,4,0
119,203,23,180,-157,55977.96,48770.02,104747.98,2,0,0,2,0,5,6,12,0,8,0,0,0,12,43,9,12,3,1,49,0,1,25,1,8,0,4,0
120,155,17,138,-121,7633.120000000001,9544.650000000001,17177.77,4,0,0,6,0,1,5,0,0,0,0,0,0,19,16,4,13,2,10,0,0,44,17,0,4,2,8,0
121,866,149,717,-568,934156.6900000001,944795.39,1878952.08,0,2,0,0,0,2,8,191,1,10,0,8,0,16,63,1,84,1,13,4,0,67,387,1,5,1,1,1
122,87,9,78,-69,2926.8200000000006,4864.610000000001,7791.43,0,1,0,4,0,12,2,0,0,0,0,0,0,12,17,4,2,2,8,0,0,13,3,0,6,1,0,1
124,1872,1039,833,206,5591669.55,6093001.8,11684671.350000001,0,0,0,43,0,9,18,142,0,8,0,4,0,10,844,19,554,13,15,11,0,7,115,0,43,0,17,0
125,129,22,107,-85,6134.51,4954.68,11089.189999999999,1,0,0,0,3,4,10,5,0,0,0,0,0,2,63,3,14,2,4,0,0,6,8,0,1,3,0,1
126,2368,1854,514,1340,2037343.73,1728249.7,3765593.4299999997,1,1,0,16,3,14,18,55,0,13,0,4,0,3,1155,17,831,24,15,11,1,15,62,3,30,7,69,0
127,388,25,363,-338,98669.83000000002,93197.08,191866.91,0,5,0,28,1,7,12,16,5,8,0,3,0,28,35,4,16,12,27,20,0,97,40,0,11,2,11,0
128,360,38,322,-284,206382.25,217207.36000000002,423589.6100000001,3,0,0,19,1,24,9,1,0,2,2,7,0,23,49,8,24,31,25,33,0,49,25,1,9,5,10,0
129,275,19,256,-237,8486.880000000001,10406.39,18893.269999999997,2,0,6,0,0,3,8,3,0,8,0,0,1,24,80,4,10,12,16,12,0,48,24,0,5,2,7,0
131,37,13,24,-11,1738.38,1833.1699999999998,3571.5500000000006,0,0,0,0,0,1,0,0,0,4,0,0,0,1,1,0,11,1,0,8,0,0,10,0,0,0,0,1
132,204,28,176,-148,34063.93,10689.960000000001,44753.89,0,0,0,10,0,4,3,0,0,0,0,1,0,2,98,7,18,4,6,0,0,20,23,0,0,2,6,1
133,243,20,223,-203,153507.09,199804.52999999997,353311.62,0,1,0,21,0,0,5,12,0,4,0,6,0,5,44,10,8,0,4,46,2,4,56,0,0,0,15,0
134,234,12,222,-210,7262.030000000001,6657.21,13919.24,0,0,0,9,0,6,16,3,0,0,0,4,1,13,26,4,8,20,9,4,0,71,22,0,4,2,12,0
135,89,21,68,-47,7993.179999999999,7080.04,15073.220000000001,0,0,0,0,2,4,13,0,0,4,1,1,0,2,16,0,17,8,4,0,0,4,0,0,2,5,6,0
137,689,308,381,-73,294132.02,274710.51,568842.53,0,0,0,0,0,16,3,81,0,8,0,0,0,0,214,10,269,0,9,9,0,0,50,0,12,0,8,0
138,261,37,224,-187,41181.67999999999,41885.020000000004,83066.7,0,0,1,2,0,1,6,7,0,0,4,0,0,25,50,0,35,19,5,17,0,7,76,0,1,0,5,0
139,309,40,269,-229,40782.3,47293.61,88075.91,0,0,0,4,1,8,14,15,7,4,0,0,0,27,29,0,30,69,10,5,0,25,37,0,7,5,12,0
143,328,75,253,-178,3519297.26,3805589.5199999996,7324886.779999999,0,0,0,5,0,4,2,31,0,0,0,0,1,0,100,5,63,0,0,0,0,0,70,5,26,0,16,0
144,165,10,155,-145,5070.75,3900.0199999999995,8970.77,0,0,0,4,13,92,5,0,0,0,0,0,0,5,5,4,4,0,0,2,0,0,9,0,15,0,7,1
145,1081,347,734,-387,420002.08999999997,438362.7,858364.79,0,0,1,26,2,5,18,123,0,6,1,4,5,0,432,0,229,44,16,27,0,65,33,4,10,16,14,0
146,245,34,211,-177,14086.03,13787.09,27873.120000000003,0,1,0,0,2,1,10,4,0,4,1,0,0,12,48,0,32,32,22,5,0,44,17,0,0,6,4,1
147,396,59,337,-278,19154.989999999998,21861.109999999997,41016.1,1,0,2,14,0,9,23,8,4,8,1,2,2,9,52,8,46,58,15,20,0,48,39,0,9,11,7,0
148,400,70,330,-260,1204506.25,1271457.96,2475964.21,0,0,0,76,4,8,0,83,0,4,0,3,0,0,74,4,66,0,0,3,0,2,41,0,12,0,20,0
149,515,107,408,-301,431269.82000000007,418877.76,850147.5800000001,1,0,0,18,0,9,41,57,1,11,0,3,1,8,84,2,101,7,7,20,0,26,74,8,13,2,21,0
151,126,11,115,-104,4499.18,4071.0199999999995,8570.2,5,0,0,2,0,3,29,6,0,0,0,0,0,5,4,0,8,3,13,2,0,39,1,2,0,4,0,1
152,840,292,548,-256,711052.69,746262.3500000001,1457315.04,0,0,0,5,2,0,33,24,0,1,0,0,0,1,376,11,280,0,6,13,1,1,40,6,16,0,24,0
153,2194,769,1425,-656,1176969.0899999999,1146492.77,2323461.86,5,1,0,33,14,30,62,75,0,10,2,6,6,19,703,15,755,125,43,33,0,41,154,2,20,7,33,0
154,207,38,169,-131,70061.75,16828.989999999998,86890.73999999999,1,1,0,17,0,0,11,10,0,4,0,2,16,13,29,5,25,4,19,8,0,8,16,4,4,2,8,0
155,238,43,195,-152,20400.59,20481.969999999994,40882.56,0,1,0,14,8,3,23,4,2,14,2,0,0,5,59,1,21,14,1,10,0,15,25,0,8,2,6,0
156,173,14,159,-145,8501.099999999999,8318.45,16819.549999999996,0,0,0,2,0,2,7,14,0,0,0,0,0,39,5,4,10,8,2,10,0,56,8,0,0,4,2,0
159,1011,112,899,-787,335303.72000000003,317233.57999999996,652537.3,0,0,0,23,7,48,20,41,0,17,10,0,9,42,308,0,96,73,18,32,0,47,175,0,12,3,30,0
160,218,22,196,-174,289539.2,101644.3,391183.5,0,0,4,21,1,8,3,6,0,0,2,4,0,23,11,8,12,15,6,5,0,35,21,1,4,12,16,0
161,268,32,236,-204,14434.58,16679.559999999998,31114.14,0,0,0,19,0,6,9,14,0,4,0,5,1,6,39,4,23,50,10,12,0,22,20,1,8,7,8,0
162,278,24,254,-230,24067.820000000003,25500.17,49567.99,0,1,0,1,9,5,14,8,0,0,0,5,4,16,33,8,9,12,23,13,0,62,32,2,4,11,6,0
163,242,40,202,-162,15962.77,15864.92,31827.690000000002,0,0,1,3,7,7,24,5,0,0,0,5,0,34,29,4,26,15,10,0,0,39,14,2,7,2,8,0
164,491,68,423,-355,73834.11,76202.3,150036.41,0,0,0,21,2,12,17,20,0,4,1,10,0,50,92,9,43,22,18,33,0,36,55,1,22,12,11,0
165,172,12,160,-148,222299.96999999997,387233.98,609533.95,0,0,0,0,0,8,6,1,9,5,0,0,0,11,5,4,8,10,9,9,0,58,14,1,5,1,8,1
166,272,95,177,-82,1018900.05,997713.6300000001,2016613.6800000002,0,0,0,0,0,4,1,12,0,8,0,0,0,0,102,0,95,0,0,0,0,0,50,0,0,0,0,1
167,1109,443,666,-223,12010700.68,12589850.669999998,24600551.35,2,0,0,12,1,6,22,82,3,4,0,0,2,26,364,52,329,9,20,4,0,70,36,0,42,4,19,1
168,1387,126,1261,-1135,396300.57,394650.55,790951.1199999999,0,0,1,39,0,27,49,87,0,13,0,4,0,30,773,13,90,15,5,26,0,19,167,0,23,1,5,0
169,150,8,142,-134,2793.9799999999996,2830.0,5623.98,0,0,0,28,1,0,9,0,0,0,0,0,1,2,18,0,8,5,3,8,0,36,16,0,4,1,10,0
171,2527,594,1933,-1339,4800548.28,4791806.279999999,9592354.559999999,0,0,11,10,6,24,9,291,0,45,0,0,1,21,466,758,493,127,12,48,0,16,82,23,61,2,21,0
172,131,12,119,-107,3744.39,3229.780000000001,6974.17,0,0,0,6,0,3,7,2,0,0,0,0,1,15,11,4,4,2,21,0,0,38,8,0,4,3,2,1
